,time,ticker,abnormal_return,y,volatility,reaction_positive,reaction_negative,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr,risk_factor_pos,risk_factor_neg,risk_factor_polarity,risk_factor_subjectivity,risk_factor_len,item1_pos,item1_neg,item1_polarity,item1_subjectivity,item1_len,item7_pos,item7_neg,item7_polarity,item7_subjectivity,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I
4048,2019,nnbr,-0.325285932,0,0.319511969,1,10,-2437841928,50.24743745,0.47552186,8.034754829,0.037380054,51.62489739,3.165663224,0.335557975,0.137408879,-17.24870441,792,446,0.279483037,0.374810778,3303,586,157,0.577388963,0.307151715,3402,806,363,0.378956373,0.343621399,0,0,1,0,0,0,0,0
4049,2006,arw,0.201738926,1,0.06282182,10,1,-3940128.01,53.43916929,0.733600369,31.39651393,-0.008928287,50.88183051,0.120550135,-0.054401397,-0.006015682,35.61467538,549,248,0.377666248,0.429881337,1854,336,59,0.701265821,0.306677018,4725,1133,389,0.488830486,0.322116402,0,0,0,0,1,0,0,0
4050,2007,arw,0.06580849,1,0.147783741,7,4,7274330.354,53.81731008,1.014656921,38.73076471,0.185925445,53.86927641,1.108017338,0.506729796,0.087307525,68.86525253,576,244,0.404878048,0.425974026,1925,373,71,0.680180179,0.2890625,4761,1156,396,0.489690721,0.325981936,0,0,0,0,1,0,0,0
4051,2008,arw,0.381196474,1,0.180492857,7,4,-2790740.492,46.5134001,1.179433052,29.04320464,-0.612248247,44.47282123,-2.880697059,-2.603597691,-0.29040837,20.81999911,672,283,0.407329843,0.425200356,2246,394,70,0.698275861,0.286773795,5172,1240,518,0.41069397,0.339907193,0,0,0,0,1,0,0,0
4052,2011,arw,-0.107072372,0,0.161627403,6,5,26714193.24,52.07262325,1.247240383,36.96947173,0.074360485,52.37466654,0.581610127,0.150458025,0.035020428,60.2248598,704,304,0.396825396,0.423885618,2378,490,112,0.627906976,0.302360623,5131,1322,474,0.472160356,0.350029234,0,0,0,0,1,0,0,0
4053,2012,arw,-0.039897414,0,0.173856734,8,3,21154916.36,53.26712939,0.948950879,36.98782157,0.058567569,51.14441643,0.471596222,0.126524327,0.007100485,60.28678064,683,292,0.401025641,0.436827957,2232,384,79,0.658747299,0.30601454,4949,1288,509,0.433500278,0.363103657,0,0,0,0,1,0,0,0
4054,2013,arw,-0.02147724,0,0.256716377,6,5,35731285.31,55.45330181,0.909130497,43.21664841,0.397836377,56.17620717,1.644130551,0.879005417,0.140441958,89.85592024,692,299,0.396569122,0.436563876,2270,383,81,0.650862068,0.315431679,5271,1394,506,0.467368421,0.36046291,0,0,0,0,1,0,0,0
4055,2014,arw,0.085663957,1,0.334595874,9,2,42430275.9,53.84050462,1.110752813,56.92862787,0.151578916,52.32206513,0.586271393,0.255651221,0.025770498,147.1207071,756,336,0.384615384,0.441568944,2473,383,82,0.647311827,0.320027529,5426,1430,488,0.4911366,0.353483229,0,0,0,0,1,0,0,0
4056,2015,arw,-0.114947185,0,0.152433179,9,2,47093614.33,47.74813115,1.306528851,58.28582723,-0.033934066,49.38843962,-0.066864086,-0.071259541,-0.026282859,151.4003852,776,351,0.377107364,0.438862928,2568,355,75,0.651162789,0.325018896,4883,1280,443,0.485780615,0.35285685,0,0,0,0,1,0,0,0
4057,2016,arw,-0.133928276,0,0.108364262,5,6,55611344.85,54.93520221,1.365694394,61.69660563,0.367361401,54.59830322,1.460297503,0.555161601,0.108962114,170.0801613,808,380,0.36026936,0.440489433,2697,343,71,0.657004829,0.324705882,5008,1327,423,0.516571428,0.349440894,0,0,0,0,1,0,0,0
4058,2017,arw,-0.335777088,0,0.093951396,5,6,62531690.46,51.60776094,1.276235976,76.44095763,0.276568259,53.529627,0.543831438,0.364389703,0.047905268,232.0254072,810,390,0.35,0.442314781,2713,336,76,0.63106796,0.325177585,5335,1342,531,0.432995195,0.351077788,0,0,0,0,1,0,0,0
4059,2006,gnss,-0.564808241,0,0.06282182,7,4,-33570631.49,50.52848311,0.249864605,3.539705165,0.007436491,48.13241928,2.40602072,-0.086067497,0.067387865,-23.91607321,837,381,0.374384236,0.370550654,3287,1003,265,0.582018927,0.28785471,4656,1100,399,0.467645096,0.321950172,0,0,1,0,0,0,0,0
4060,2007,gnss,0.745805073,1,0.147783741,5,6,-48165277.38,46.64849814,0.214332158,3.618806809,-0.049328293,45.60007022,-2.340414626,-1.598393356,-0.174451184,-24.76300022,841,413,0.341307815,0.38173516,3285,896,203,0.630573248,0.296946771,2989,690,287,0.412487205,0.326865172,0,0,1,0,0,0,0,0
4061,2008,gnss,1.626017748,1,0.180492857,5,6,-57161821.08,43.16959696,0.14338093,1.430644423,-0.057576855,43.6771196,-6.485822121,-5.335678811,-0.603184291,-71.37494649,861,420,0.344262295,0.390429747,3281,659,149,0.631188118,0.30910482,2151,545,162,0.5417256,0.328684333,0,0,1,0,0,0,0,0
4062,2009,gnss,0.592771249,1,9.91E-07,5,6,-63667156.84,50.91564185,0.141963485,1.383245473,0.028779332,51.86335043,9.454780076,2.785512026,0.39280918,-69.45276291,831,402,0.347931873,0.38957346,3165,612,139,0.629826897,0.307534807,2380,601,223,0.458737864,0.346218487,0,0,1,0,0,0,0,0
4063,2006,clfd,1.223977676,1,0.06282182,2,9,518525.8006,50.63021571,0.125210689,1.420631758,0.005965917,50.90301267,1.337488989,0.353734092,0.023120401,-35.28321538,497,219,0.388268156,0.404977375,1768,301,64,0.649315067,0.25997151,2590,549,255,0.365671641,0.31042471,0,0,1,0,0,0,0,0
4064,2007,clfd,1.706165986,1,0.147783741,7,4,888797.7514,45.81384722,0.085690145,1.196233259,-0.010265351,48.13877614,-1.024694495,-0.897141316,-0.140778982,-46.70709251,523,228,0.392809587,0.404851752,1855,200,51,0.593625496,0.278888889,2447,594,231,0.439999999,0.337147527,0,0,1,0,0,0,0,0
