,ticker,time,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr
0,lake,2006,-1056300.915,43.6639305,0.397846597,15.15409008,-0.10486465,48.22678235,-1.011591342,-0.706263178,-0.089979243,0.042820471
1,lake,2007,-1154357.253,47.43311466,0.410023798,13.11096071,-0.074368513,47.83442275,-0.881170575,-0.614346095,-0.068663678,-13.2159898
2,lake,2008,-1024749.798,50.75889276,0.550071706,11.45447955,-0.089495852,48.30446634,-1.091748366,-1.050190587,-0.122668697,-24.56255657
3,lake,2009,-774229.8828,51.23097593,0.443933084,7.658534121,-0.009367257,49.77230819,0.768073911,-0.231495841,-0.012104787,-48.76649339
4,lake,2010,-611015.4096,54.43317399,0.366514617,9.070938463,0.039077465,51.49596525,0.5558556,0.446371907,0.029258316,-39.05825199
5,lake,2011,-583653.6661,45.81300014,0.261852639,8.24586348,-0.0390194,47.61211247,-0.101828503,-0.483051311,0.02221841,-45.11466606
6,lake,2012,-547464.0774,44.23797854,0.348865195,7.951886813,-0.065280518,46.78452939,-1.889175628,-1.114315449,-0.257185574,-47.83662913
7,lake,2013,-908847.081,43.80811351,0.204114906,4.691078769,-0.004497274,47.303072,0.457319322,-0.168639689,0.023396543,-68.64856047
8,lake,2014,-972574.7125,53.25327092,0.696892155,7.933312293,0.153101877,52.90906021,6.371291129,1.555536213,0.230952806,-45.41041763
9,lake,2015,-11246064.36,52.78989008,0.593167147,10.77065477,0.064648619,50.46922602,2.151927374,0.424112027,0.096182932,-27.08644044
10,lake,2016,-10677359.06,50.9512205,0.418983508,10.50952228,-0.057705666,48.94708824,-0.080209067,-0.553570944,-0.054796946,-30.27299658
11,lake,2017,-10608884.23,57.12859557,0.449157706,12.67481611,0.098890652,52.99795724,1.700198294,0.729183826,0.133778979,-14.07591398
12,lake,2018,-11073794.83,45.68263485,0.42556966,13.62340948,-0.070235605,46.55917681,-1.437718842,-0.560994402,-0.132249587,-10.11520195
13,lake,2019,-11673687.82,43.89813865,0.334197,11.26617064,-0.038587212,48.39081152,0.309307648,-0.366234455,0.01345302,-24.78220924
14,lake,2020,-21235114.19,57.96326737,1.372647828,18.08034042,0.332028385,54.08610677,5.373651647,1.910549862,0.356339634,25.37713338
15,trn,2006,-24084240600,55.4896127,3.438133966,9.546095758,0.067906958,54.96447399,1.466113388,0.71142093,0.074489934,78.01967815
16,trn,2007,-41112300227,48.71466813,3.685350704,10.51737901,-0.07184626,48.37779734,-0.913850833,-0.917698532,-0.092128596,91.67083612
